Country,URL
Philippines,https://en.wikipedia.org/wiki/Flags_of_the_provinces_of_the_Philippines
Poland,https://en.wikipedia.org/wiki/Flags_of_Polish_voivodeships
Portugal,"https://en.wikipedia.org/wiki/List_of_Portuguese_flags#Autonomous_Regions, https://en.wikipedia.org/wiki/List_of_Portuguese_municipal_flags"
Puerto Rico,https://commons.wikimedia.org/wiki/Flags_of_municipalities_in_Puerto_Rico
Romania,https://en.wikipedia.org/wiki/List_of_flags_of_Romania#Subdivision_flags
Russia,https://en.wikipedia.org/wiki/Flags_of_Federal_subjects_of_Russia
"Saint Helena, Ascension and Tristan da Cunha","https://en.wikipedia.org/wiki/Flag_of_Saint_Helena,_Ascension_and_Tristan_da_Cunha"
Saint Pierre and Miquelon,https://en.wikipedia.org/wiki/Flag_of_Saint_Pierre_and_Miquelon
Serbia,https://commons.wikimedia.org/wiki/Flags_of_municipalities_of_Serbia
Seychelles,https://en.wikipedia.org/wiki/Districts_of_Seychelles
Somalia,https://en.wikipedia.org/wiki/Flag_of_Somalia#Subnational_flags
South Africa,https://en.wikipedia.org/wiki/List_of_South_African_flags#Provincial_flags
South Korea,https://commons.wikimedia.org/wiki/Flags_of_administrative_divisions_of_South_Korea
South Sudan,https://en.wikipedia.org/wiki/Flag_of_South_Sudan#Sub-national_flags
Spain, https://en.wikipedia.org/wiki/List_of_Spanish_flags
Sri Lanka,https://en.wikipedia.org/wiki/List_of_Sri_Lankan_flags#Provincial_flags
Sudan,https://en.wikipedia.org/wiki/Flag_of_Sudan
Sweden,https://en.wikipedia.org/wiki/List_of_flags_of_Sweden#Regional_flags
Switzerland,https://en.wikipedia.org/wiki/Flags_of_Swiss_cantons
Taiwan,https://en.wikipedia.org/wiki/List_of_Taiwanese_flags#Political_divisions
Thailand,https://en.wikipedia.org/wiki/Provinces_of_Thailand
UAE,https://en.wikipedia.org/wiki/Flag_of_the_United_Arab_Emirates#Flag_of_each_emirate
UK,"https://en.wikipedia.org/wiki/List_of_United_Kingdom_flags, https://en.wikipedia.org/wiki/List_of_English_flags, https://en.wikipedia.org/wiki/List_of_Scottish_flags, https://en.wikipedia.org/wiki/List_of_Welsh_flags"
Ukraine,https://en.wikipedia.org/wiki/Flags_of_the_regions_of_Ukraine
USA,https://en.wikipedia.org/wiki/Flags_of_the_U.S._states_and_territories
Uzbekistan,https://en.wikipedia.org/wiki/List_of_Uzbek_flags#Autonomous_Republic
Venezuela,https://en.wikipedia.org/wiki/States_of_Venezuela
Wallis and Futuna,https://en.wikipedia.org/wiki/Flag_of_Wallis_and_Futuna
Western Sahara,https://en.wikipedia.org/wiki/Flag_of_Western_Sahara
Yemen,https://en.wikipedia.org/wiki/Flag_of_Yemen#Region_flags
