subdivisionCode,subdivisionName,subdivisionType
CF-MB,Mbomou,Prefecture
CF-MP,Ombella-Mpoko,Prefecture
CF-NM,Nana-Mambéré,Prefecture
CF-OP,Ouham-Pendé,Prefecture
CF-SE,Sangha,Economic prefecture
CF-UK,Ouaka,Prefecture
CF-VK,Vakaga,Prefecture
CG-11,Bouenza,Department
CG-12,Pool,Department
CG-13,Sangha,Department
CG-14,Plateaux,Department
CG-15,Cuvette-Ouest,Department
CG-2,Lékoumou,Department
CG-5,Kouilou,Department
CG-7,Likouala,Department
CG-8,Cuvette,Department
CG-9,Niari,Department
CG-BZV,Brazzaville,Department
CI-BS,Bas-Sassandra,District
CI-CM,Comoé,District
CI-DN,Denguélé,District
CI-GD,Gôh-Djiboua,District
CI-LC,Lacs,District
CI-LG,Lagunes,District
CI-MG,Montagnes,District
CI-SM,Sassandra-Marahoué,District
CI-SV,Savanes,District
CI-VB,Vallée du Bandama,District
CI-WR,Woroba,District
CI-YM,Yamoussoukro,Autonomous district
CI-ZZ,Zanzan,District
CM-AD,Adamaoua,Region
CM-CE,Centre,Region
CM-EN,Far North,Region
CM-ES,East,Region
CM-LT,Littoral,Region
CM-NO,North,Region
CM-NW,North-West,Region
CM-OU,West,Region
CM-SU,South,Region
CM-SW,South-West,Region
CN-AH,Anhui Sheng,Province
CN-BJ,Beijing Shi,Municipality
CN-CQ,Chongqing Shi,Municipality
CN-FJ,Fujian Sheng,Province
CN-GD,Guangdong Sheng,Province
CN-GS,Gansu Sheng,Province
CN-GX,Guangxi Zhuangzu Zizhiqu,Autonomous region
CN-GZ,Guizhou Sheng,Province
CN-HA,Henan Sheng,Province
CN-HB,Hubei Sheng,Province
CN-HE,Hebei Sheng,Province
CN-HI,Hainan Sheng,Province
CN-HL,Heilongjiang Sheng,Province
CN-HN,Hunan Sheng,Province
CN-JL,Jilin Sheng,Province
CN-JS,Jiangsu Sheng,Province
CN-JX,Jiangxi Sheng,Province
CN-LN,Liaoning Sheng,Province
CN-NM,Nei Mongol Zizhiqu,Autonomous region
CN-NX,Ningxia Huizu Zizhiqu,Autonomous region
CN-QH,Qinghai Sheng,Province
CN-SC,Sichuan Sheng,Province
CN-SD,Shandong Sheng,Province
CN-SH,Shanghai Shi,Municipality
CN-SN,Shaanxi Sheng,Province
CN-SX,Shanxi Sheng,Province
CN-TJ,Tianjin Shi,Municipality
CN-TW,Taiwan Sheng,Province
CN-XJ,Xinjiang Uygur Zizhiqu,Autonomous region
CN-XZ,Xizang Zizhiqu,Autonomous region
CN-YN,Yunnan Sheng,Province
CN-ZJ,Zhejiang Sheng,Province
CU-01,Pinar del Río,Province
CU-03,La Habana,Province
CU-04,Matanzas,Province
CU-05,Villa Clara,Province
CU-07,Sancti Spíritus,Province
CU-08,Ciego de Ávila,Province
CU-09,Camagüey,Province
CU-10,Las Tunas,Province
CU-12,Granma,Province
CU-13,Santiago de Cuba,Province
CU-15,Artemisa,Province
CU-16,Mayabeque,Province
CU-99,Isla de la Juventud,Special municipality
CV-B,Ilhas de Barlavento,Geographical region
CV-S,Ilhas de Sotavento,Geographical region
CY-01,Lefkosia,District
CY-02,Lemesos,District
CY-03,Larnaka,District
CY-04,Ammochostos,District
CY-05,Pafos,District
CY-06,Keryneia,District
CZ-201,Benešov,District
CZ-202,Beroun,District
CZ-203,Kladno,District
CZ-204,Kolín,District
CZ-205,Kutná Hora,District
CZ-206,Mělník,District
CZ-207,Mladá Boleslav,District
CZ-208,Nymburk,District
CZ-209,Praha-východ,District
CZ-20A,Praha-západ,District
CZ-20B,Příbram,District
CZ-20C,Rakovník,District
CZ-311,České Budějovice,District
CZ-312,Český Krumlov,District
CZ-313,Jindřichův Hradec,District
CZ-314,Písek,District
CZ-315,Prachatice,District
CZ-316,Strakonice,District
CZ-317,Tábor,District
CZ-321,Domažlice,District
CZ-322,Klatovy,District
CZ-323,Plzeň-město,District
CZ-324,Plzeň-jih,District
CZ-325,Plzeň-sever,District
CZ-326,Rokycany,District
CZ-327,Tachov,District
CZ-411,Cheb,District
CZ-412,Karlovy Vary,District
CZ-413,Sokolov,District
CZ-421,Děčín,District
CZ-422,Chomutov,District
CZ-423,Litoměřice,District
CZ-424,Louny,District
CZ-425,Most,District
CZ-426,Teplice,District
CZ-427,Ústí nad Labem,District
CZ-511,Česká Lípa,District
CZ-512,Jablonec nad Nisou,District
CZ-513,Liberec,District
CZ-514,Semily,District
CZ-521,Hradec Králové,District
CZ-522,Jičín,District
CZ-523,Náchod,District
CZ-524,Rychnov nad Kněžnou,District
CZ-525,Trutnov,District
CZ-531,Chrudim,District
CZ-532,Pardubice,District
CZ-533,Svitavy,District
CZ-534,Ústí nad Orlicí,District
CZ-631,Havlíčkův Brod,District
CZ-632,Jihlava,District
CZ-633,Pelhřimov,District
CZ-634,Třebíč,District
CZ-635,Žďár nad Sázavou,District
CZ-641,Blansko,District
CZ-642,Brno-město,District
CZ-643,Brno-venkov,District
CZ-644,Břeclav,District
CZ-645,Hodonín,District
CZ-646,Vyškov,District
CZ-647,Znojmo,District
CZ-711,Jeseník,District
CZ-712,Olomouc,District
CZ-713,Prostějov,District
CZ-714,Přerov,District
CZ-715,Šumperk,District
CZ-721,Kroměříž,District
CZ-722,Uherské Hradiště,District
CZ-723,Vsetín,District
CZ-724,Zlín,District
CZ-801,Bruntál,District
CZ-802,Frýdek-Místek,District
CZ-803,Karviná,District
CZ-804,Nový Jičín,District
CZ-805,Opava,District
CZ-806,Ostrava-město,District
DJ-AR,Arta,Region
DJ-AS,Ali Sabieh,Region
DJ-DI,Dikhil,Region
DJ-OB,Obock,Region
DJ-TA,Tadjourah,Region
DM-02,Saint Andrew,Parish
DM-03,Saint David,Parish
DM-04,Saint George,Parish
DM-05,Saint John,Parish
DM-06,Saint Joseph,Parish
DM-07,Saint Luke,Parish
DM-08,Saint Mark,Parish
DM-09,Saint Patrick,Parish
DM-10,Saint Paul,Parish
DM-11,Saint Peter,Parish
DO-03,Baoruco,Province
DO-04,Barahona,Province
DO-06,Duarte,Province
DO-07,Elías Piña,Province
DO-08,El Seibo,Province
DO-11,La Altagracia,Province
DO-14,María Trinidad Sánchez,Province
DO-16,Pedernales,Province
DO-17,Peravia,Province
DO-19,Hermanas Mirabal,Province
DO-21,San Cristóbal,Province
DO-22,San Juan,Province
DO-26,Santiago Rodríguez,Province
DO-27,Valverde,Province
DO-29,Monte Plata,Province
DO-30,Hato Mayor,Province
DO-33,Cibao Nordeste,Region
DO-34,Cibao Noroeste,Region
DO-35,Cibao Norte,Region
DO-36,Cibao Sur,Region
DO-37,El Valle,Region
DO-38,Enriquillo,Region
DO-39,Higuamo,Region
DO-40,Ozama,Region
DO-41,Valdesia,Region
DO-42,Yuma,Region
DZ-01,Adrar,Province
DZ-02,Chlef,Province
DZ-03,Laghouat,Province
DZ-04,Oum el Bouaghi,Province
DZ-05,Batna,Province
DZ-06,Béjaïa,Province
DZ-07,Biskra,Province
DZ-08,Béchar,Province
DZ-09,Blida,Province
DZ-10,Bouira,Province
DZ-11,Tamanrasset,Province
DZ-12,Tébessa,Province
DZ-13,Tlemcen,Province
DZ-14,Tiaret,Province
DZ-15,Tizi Ouzou,Province
DZ-16,Alger,Province
DZ-17,Djelfa,Province
DZ-18,Jijel,Province
DZ-19,Sétif,Province
DZ-20,Saïda,Province
DZ-21,Skikda,Province
DZ-22,Sidi Bel Abbès,Province
DZ-23,Annaba,Province
DZ-24,Guelma,Province
DZ-25,Constantine,Province
DZ-26,Médéa,Province
DZ-27,Mostaganem,Province
DZ-28,M'sila,Province
DZ-29,Mascara,Province
DZ-30,Ouargla,Province
DZ-31,Oran,Province
DZ-32,El Bayadh,Province
DZ-33,Illizi,Province
DZ-34,Bordj Bou Arréridj,Province
DZ-35,Boumerdès,Province
DZ-36,El Tarf,Province
DZ-37,Tindouf,Province
DZ-38,Tissemsilt,Province
DZ-39,El Oued,Province
DZ-40,Khenchela,Province
DZ-41,Souk Ahras,Province
DZ-42,Tipaza,Province
DZ-43,Mila,Province
DZ-44,Aïn Defla,Province
DZ-45,Naama,Province
DZ-46,Aïn Témouchent,Province
DZ-47,Ghardaïa,Province
DZ-48,Relizane,Province
DZ-49,Timimoun,Province
DZ-50,Bordj Badji Mokhtar,Province
DZ-51,Ouled Djellal,Province
DZ-52,Béni Abbès,Province
DZ-53,In Salah,Province
DZ-54,In Guezzam,Province
DZ-55,Touggourt,Province
DZ-56,Djanet,Province
DZ-57,El Meghaier,Province
DZ-58,El Meniaa,Province
ER-AN,Ansabā,Region
ER-DK,Debubawi K’eyyĭḥ Baḥri,Region
ER-DU,Al Janūbī,Region
ER-GB,Gash-Barka,Region
ER-MA,Al Awsaţ,Region
ER-SK,Semienawi K’eyyĭḥ Baḥri,Region
ES-C,A Coruña [La Coruña],Province
FJ-01,Ba,Province
FJ-02,Bua,Province
FJ-03,Cakaudrove,Province
FJ-04,Kadavu,Province
FJ-05,Lau,Province
FJ-06,Lomaiviti,Province
FJ-07,Macuata,Province
FJ-08,Nadroga and Navosa,Province
FJ-09,Naitasiri,Province
FJ-10,Namosi,Province
FJ-11,Ra,Province
FJ-12,Rewa,Province
FJ-13,Serua,Province
FJ-14,Tailevu,Province
FJ-C,Central,Division
FJ-E,Eastern,Division
FJ-N,Northern,Division
FJ-R,Rotuma,Dependency
FJ-W,Western,Division
GB-AGB,Argyll and Bute,Council area
GB-AND,Ards and North Down,District
GB-BAS,Bath and North East Somerset,Unitary authority
GB-BBD,Blackburn with Darwen,Unitary authority
GB-BCP,"""Bournemouth, Christchurch and Poole""",Unitary authority
GB-BDG,Barking and Dagenham,London borough
GB-BEN,Brent,London borough
GB-BGE,Bridgend [Pen-y-bont ar Ogwr GB-POG],Unitary authority
GB-BGW,Blaenau Gwent,Unitary authority
GB-BNE,Barnet,London borough
GB-BOL,Bolton,Metropolitan district
GB-BPL,Blackpool,Unitary authority
GB-BRC,Bracknell Forest,Unitary authority
GB-BRY,Bromley,London borough
GB-CAY,Caerphilly [Caerffili GB-CAF],Unitary authority
GB-CCG,Causeway Coast and Glens,District
GB-CLD,Calderdale,Metropolitan district
GB-CLK,Clackmannanshire,Council area
GB-CMD,Camden,London borough
GB-CRY,Croydon,London borough
GB-CWY,Conwy,Unitary authority
GB-DAL,Darlington,Unitary authority
GB-DER,Derby,Unitary authority
GB-DGY,Dumfries and Galloway,Council area
GB-EDU,East Dunbartonshire,Council area
GB-ENF,Enfield,London borough
GB-FIF,Fife,Council area
GB-GAT,Gateshead,Metropolitan district
GB-GRE,Greenwich,London borough
GB-HAL,Halton,Unitary authority
GB-HAV,Havering,London borough
GB-HIL,Hillingdon,London borough
GB-HLD,Highland,Council area
GB-HMF,Hammersmith and Fulham,London borough
GB-HNS,Hounslow,London borough
GB-HRW,Harrow,London borough
GB-IVC,Inverclyde,Council area
GB-KEC,Kensington and Chelsea,London borough
GB-KIR,Kirklees,Metropolitan district
GB-KWL,Knowsley,Metropolitan district
GB-LBH,Lambeth,London borough
GB-LEW,Lewisham,London borough
GB-LIV,Liverpool,Metropolitan district
GB-MDB,Middlesbrough,Unitary authority
GB-MDW,Medway,Unitary authority
GB-MIK,Milton Keynes,Unitary authority
GB-MLN,Midlothian,Council area
GB-MRT,Merton,London borough
GB-MTY,Merthyr Tydfil [Merthyr Tudful GB-MTU],Unitary authority
GB-NAY,North Ayrshire,Council area
GB-NEL,North East Lincolnshire,Unitary authority
GB-NLK,North Lanarkshire,Council area
GB-NLN,North Lincolnshire,Unitary authority
GB-NTL,Neath Port Talbot [Castell-nedd Port Talbot GB-CTL],Unitary authority
GB-NTY,North Tyneside,Metropolitan district
GB-NWM,Newham,London borough
GB-NYK,North Yorkshire,Two-tier county
GB-PKN,Perth and Kinross,Council area
GB-RCC,Redcar and Cleveland,Unitary authority
GB-RCH,Rochdale,Metropolitan district
GB-RDG,Reading,Unitary authority
GB-RFW,Renfrewshire,Council area
GB-ROT,Rotherham,Metropolitan district
GB-SAY,South Ayrshire,Council area
GB-SCB,Scottish Borders,Council area
GB-SGC,South Gloucestershire,Unitary authority
GB-SHN,St. Helens,Metropolitan district
GB-SKP,Stockport,Metropolitan district
GB-SLF,Salford,Metropolitan district
GB-SLG,Slough,Unitary authority
GB-SND,Sunderland,Metropolitan district
GB-SOL,Solihull,Metropolitan district
GB-STE,Stoke-on-Trent,Unitary authority
GB-STN,Sutton,London borough
GB-STT,Stockton-on-Tees,Unitary authority
GB-SWK,Southwark,London borough
GB-TAM,Tameside,Metropolitan district
GB-TFW,Telford and Wrekin,Unitary authority
GB-THR,Thurrock,Unitary authority
GB-TOF,Torfaen [Tor-faen],Unitary authority
GB-TRF,Trafford,Metropolitan district
GB-TWH,Tower Hamlets,London borough
GB-WDU,West Dunbartonshire,Council area
GB-WKF,Wakefield,Metropolitan district
GB-WLN,West Lothian,Council area
GB-WLV,Wolverhampton,Metropolitan district
GB-WND,Wandsworth,London borough
GB-WNM,Windsor and Maidenhead,Unitary authority
GB-WOK,Wokingham,Unitary authority
GB-WRL,Wirral,Metropolitan district
GB-WRT,Warrington,Unitary authority
GB-WRX,Wrexham [Wrecsam GB-WRC],Unitary authority
GB-WSM,Westminster,London borough
GD-01,Saint Andrew,Parish
GD-02,Saint David,Parish
GD-03,Saint George,Parish
GD-04,Saint John,Parish
GD-05,Saint Mark,Parish
GD-06,Saint Patrick,Parish
GD-10,Southern Grenadine Islands,Dependency
GH-AF,Ahafo,Region
GH-BE,Bono East,Region
GH-BO,Bono,Region
GH-NE,North East,Region
GH-NP,Northern,Region
GH-OT,Oti,Region
GH-SV,Savannah,Region
GH-UE,Upper East,Region
GH-UW,Upper West,Region
GH-WN,Western North,Region
GM-L,Lower River,Division
GM-M,Central River,Division
GM-N,North Bank,Division
